country,serie,2018,2015,2014,2017,2016,2011,2010,2013,2012,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,2002,2003,2000,2001,2006,2007,2004,2005,2008,2009
Denmark,Territorial Emissions,36.64,36.64,36.64,32.976,36.64,43.968,47.632,40.304,40.304,65.952,54.96,62.288,58.624,62.288,65.952,65.952,73.28,58.624,62.288,54.96,62.288,54.96,54.96,58.624,54.96,54.96,51.296,51.296,47.632
Morocco,Territorial Emissions,65.952,62.288,58.624,62.288,62.288,54.96,54.96,58.624,58.624,25.648,21.984,29.312,25.648,29.312,29.312,29.312,29.312,32.976,32.976,36.64,36.64,32.976,36.64,47.632,51.296,43.968,43.968,51.296,51.296
Guyana,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,0.0,0.0,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664
Venezuela,Territorial Emissions,139.232,172.208,183.2,153.888,164.88,172.208,190.528,183.2,190.528,113.584,120.912,124.576,106.256,131.904,128.24,131.904,120.912,172.208,168.544,194.192,190.528,150.224,172.208,168.544,161.216,150.224,164.88,179.536,179.536
Iceland,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Lesotho,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Italy,Territorial Emissions,337.088,355.408,348.08,348.08,351.744,414.032,425.024,362.736,392.048,439.68,439.68,432.352,436.016,450.672,425.024,447.008,443.344,465.328,461.664,476.32,490.976,468.992,476.32,487.312,479.984,494.64,494.64,468.992,417.696
Aruba,Territorial Emissions,0.0,0.0,0.0,0.0,0.0,3.664,3.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Mexico,Territorial Emissions,476.32,483.648,479.984,490.976,483.648,483.648,465.328,490.976,494.64,329.76,318.768,337.088,333.424,333.424,351.744,370.064,344.416,392.048,388.384,410.368,436.016,395.712,410.368,476.32,479.984,439.68,465.328,494.64,476.32
Georgia,Territorial Emissions,10.992,10.992,7.328,10.992,10.992,7.328,7.328,7.328,7.328,21.984,29.312,10.992,14.656,3.664,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,7.328,7.328,3.664,3.664,3.664,7.328
Kazakhstan,Territorial Emissions,322.432,263.808,256.48,282.128,267.472,227.168,234.496,241.824,234.496,256.48,267.472,205.184,234.496,161.216,172.208,139.232,150.224,109.92,135.568,146.56,164.88,131.904,128.24,205.184,212.512,168.544,183.2,212.512,208.848
Botswana,Territorial Emissions,7.328,3.664,7.328,7.328,7.328,3.664,3.664,7.328,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Romania,Territorial Emissions,73.28,76.944,76.944,73.28,76.944,87.936,84.272,76.944,87.936,139.232,168.544,124.576,131.904,128.24,120.912,124.576,128.24,91.6,106.256,102.592,106.256,95.264,98.928,106.256,106.256,102.592,102.592,106.256,87.936
Netherlands,Territorial Emissions,161.216,164.88,157.552,164.88,164.88,168.544,183.2,164.88,164.88,172.208,161.216,172.208,172.208,172.208,172.208,175.872,183.2,172.208,175.872,175.872,179.536,172.208,175.872,172.208,172.208,183.2,175.872,175.872,168.544
Taiwan,Territorial Emissions,274.8,256.48,260.144,274.8,263.808,267.472,263.808,256.48,256.48,131.904,120.912,153.888,139.232,164.88,157.552,186.864,172.208,205.184,197.856,234.496,241.824,223.504,223.504,249.152,274.8,249.152,256.48,260.144,245.488
Thailand,Territorial Emissions,289.456,282.128,278.464,285.792,282.128,252.816,256.48,285.792,271.136,98.928,87.936,120.912,106.256,157.552,135.568,179.536,172.208,164.88,157.552,190.528,201.52,172.208,183.2,227.168,230.832,219.84,223.504,227.168,241.824
Syria,Territorial Emissions,29.312,29.312,29.312,29.312,29.312,54.96,62.288,36.64,43.968,43.968,36.64,43.968,43.968,40.304,47.632,43.968,43.968,51.296,51.296,36.64,54.96,51.296,47.632,51.296,65.952,51.296,51.296,65.952,62.288
Zambia,Territorial Emissions,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,3.664,0.0,3.664,3.664,3.664,0.0,3.664,3.664,3.664,3.664,3.664,3.664,3.664
Hungary,Territorial Emissions,51.296,47.632,43.968,51.296,47.632,51.296,51.296,43.968,47.632,69.616,73.28,62.288,62.288,62.288,62.288,62.288,62.288,62.288,62.288,58.624,62.288,58.624,58.624,58.624,58.624,58.624,62.288,58.624,51.296
Peru,Territorial Emissions,54.96,51.296,51.296,51.296,54.96,47.632,58.624,43.968,54.96,21.984,21.984,21.984,21.984,21.984,21.984,25.648,25.648,29.312,29.312,25.648,25.648,29.312,25.648,29.312,32.976,32.976,36.64,40.304,51.296
